Tcm,Tem,Tfh,Treg,Activated CD8,Dysfunc CD8,Terminal exhaustion,Precursor exhaustion,NK,B cells memory,B cells naive,Macrophage M1,Macrophage M2,Plasmablasts,MDSC,Monocytes,cDC,pDC,CAFs MSC iCAF-like,CAFs myCAF-like,Endothelial,PT_like,ProInflammatory,EMT_like,PI3K
CCR7,IL7R,CXCL13,TNFRSF4,CD69,NPEPPS,CD3G,TCF7,GNLY,MS4A1,CD79A,C1QB,CXCL10,IGKV3-15,ITGAM,LYZ,CD80,IL3RA,APOD,COL1A1,ACKR1,TRPM3,AL078604.4,EEF1G,ERBB4
LTB,ANXA1,NMB,LTB,CCR7,NOTCH2,FASLG,MS4A4A,XCL1,CD79A,TCL1A,C1QA,C1QB,IGHG1,CD33,IL1B,CD86,LILRA4,DCN,COL1A2,FABP4,PBX1,BIRC3,FAU,GRHL2
IL7R,CXCR4,NR3C1,IL32,CD27,CABLES1,ID2,TNFSF8,XCL2,CD83,MS4A1,C1QC,C1QC,IGKV1-5,ARG1,G0S2,CCR7,CD123,PTGDS,COL3A1,PLVAP,SLC6A13,DCLK1,UBA52,SIM2
SARAF,KLRB1,DUSP4,BATF,BTLA,CERK,LAG3,CXCL10,AREG,CD37,CD37,CCL3,CXCL9,IGKV3-20,NOS2,TYROBP,CD1A,TCF4,CFD,LUM,RAMP2,SLC17A4,PDE10A,MIF,SCHLAP1
SELL,TNFAIP3,TNFRSF18,FOXP3,CD40LG,MTMR3,RGS1,EEF1B2,KLRD1,BANK1,CD74,CCL3L3,C1QA,IGKV3-11,CD68,FCN1,CD1C,IRF7,LUM,SFRP2,VWF,SLC6A12,FKBP5,EEF2,ESRP1
CD3E,RGCC,CD200,TIGIT,IL2RA,RELB,CCL3 CCL3L1,ID3,NKG7,HLA-DRA,LINC00926,SEPP1,APOE,IGKV1-9,CD163,AIF1,CD11b,IRF8,C1S,POSTN,AQP1,PDZRN3,ZBTB16,MT2A,TMPRSS4
ZFP36L2,CD69,TNFRSF4,TNFRSF18,CD3E,KLF3,KIAA1671,IL7R,TRDC,CD74,HLA-DQB1,TYROBP,TYROBP,IGKC,LAIR1,PLAUR,CD11C,TLR7,CXCL12,MMP11,CLDN5,CCSER1,SLC9A9,CTSD,GATA3
GPR183,CD40LG,ITM2A,CTLA4,CD47,CAMK2D,SH2D2A,JUN,KLRC1,HLA-DQB1,HLA-DRA,MS4A6A,CCL8,IGLV2-14,IL34,LST1,CD14,TLR9,C3,CTHRC1,SPARCL1,DOC2A,PLCB4,PTMA,GABRP
BTG1,TSC22D3,CD2,CARD16,EOMES,CCNG2,DUSP2,LTB,GZMB,VPREB3,CD79B,APOE,LYZ,IGKV4-1,NA,FCER1G,CD16,IFNA,SFRP2,FN1,GNG11,SLC6A3,TMEM178B,TMSB10,RIMBP2
PASK,CREM,SRGN,TRAC,GNLY,SLC25A33,PDCD1,XCL1,CTSW,IGHA1,VPREB3,CXCL8,FCER1G,IGLV3-25,NA,S100A9,CD40,IFNB,CXCL14,SPARC,PECAM1,SLC47A1,SPSB1,FTL,ADGRF1
YPEL5,CD52,IGFL2,IL2RA,GZMA,PIM3,CD7,SOCS3,KLRB1,HLA-DQA1,BANK1,MS4A7,FAM26F,IGLV1-40,NA,CXCL8,CD83,IL6,CCDC80,DCN,ENG,FRAS1,SEMA3C,NOP53,KRT7
FXYD5,GPR183,CTLA4,CD27,GZMB,RNF149,NR4A2,TRAF1,CD7,IGHM,IGHD,RNASE1,HLA-DRA,IGLV1-44,NA,HLA-DRA,CD123,TNFA,MFAP4,COL6A3,EGFL7,MAP7,ZBTB7C,RARRES2,SLC12A1
LEPROTL1,YPEL5,KLRB1,DUSP4,PRF1,SWAP70,CD160,EMB,HOPX,CD79B,FCER2,CD68,CXCL11,IGHV6-1,NA,SERPINA1,CD141,NA,FBLN1,BGN,HSPG2,AC124854.1,NFKBIZ,SERPINA1,LYPD6B
CD40LG,SRGN,RGS1,ICOS,IFNG,PINK1,PTPN22,CRTAM,CCL5,HLA-DPB1,HVCN1,PLTP,CD68,IGLC2,NA,C15orf48,CX3CR1,NA,GSN,COL6A2,RAMP3,ACSM2B,SOD2,NDUFA4L2,MECOM
NA,CD3D,TIGIT,CD2,CD8A,RAB2A,ABI3,EEF1G,CD69,HLA-DQA2,HLA-DPB1,AIF1,HLA-DRB5,IGLV1-51,NA,HLA-DPB1,CD209,NA,CTSK,COL6A1,A2M,RIPOR2,MAOA,RACK1,TLE4
NA,CD2,CD3D,PMAIP1,CD8B,FAM168B,PTGER4,CD9,CMC1,IRF8,ADAM28,F13A1,HLA-DRB1,IGHV3-23,NA,HLA-DPA1,EpCAM,NA,SERPINF1,CTGF,SPRY1,KCNMA1,AP002518.2,GAPDH,ERC2
NA,TRAC,CD40LG,RGS1,CD95L,MAP2K7,GZMK,ITGB1,GZMA,HLA-DPA1,FCMR,HLA-DRA,HLA-DQA1,IGHV3-21,NA,BCL2A1,HLA-DR,NA,RARRES2,AEBP1,CLEC14A,CIT,GRIN2A,CLU,ARHGEF38
NA,GPR171,BATF,AC133644.2,LAMP1,MIR466I,GZMA,GPR183,IL2RB,ARHGAP24,CD83,APOC1,CCL3,IGLV3-21,NA,MS4A6A,CD207,NA,SFRP4,COL5A2,RBP7,SLC5A8,ELL2,TMSB4X,LRP1B
NA,BIRC3,SH2D1A,TNFRSF9,LAG3,ASAP1,MBNL1,ZFP36L1,CCL4,ADAM28,LAPTM5,CTSB,HLA-DPA1,IGLC3,NA,EREG,CD172A,NA,C1R,VCAN,EMCN,NPR3,RNF144B,TPT1,PDE1A
NA,PTGER4,RBPJ,TNFRSF1B,CTLA4,GRASP,VMP1,SLAMF6,DUSP2,LINC00926,NCF1,HLA-DPA1,PLEK,IGLV1-47,NA,CXCL2,XCR1,NA,IGF2,CTSK,IGFBP7,A1CF,NAV2,S100A6,ICA1
NA,SLC2A3,PDCD1,SPOCK2,HLA-DRA,POU2AF1,PLAC8,LY6E,REL,LY9,BACH2,HLA-DRB1,CTSB,IGHV3-30,NA,CTSS,NA,NA,CYR61,RARRES2,ADGRL4,FTCD,SYBU,FTH1,PCDH9
NA,ZFP36L2,RNF19A,TBC1D4,TNFRSF4,GATA3,RGS3,NA,ZNF683,HLA-DRB5,BTG1,DAB2,CD74,IGLV3-1,NA,GPX1,NA,NA,CTGF,TIMP1,ID1,EBNA1BP2,BTBD11,MT3,FGF13
NA,LEPROTL1,FKBP5,IL2RG,ICOS,B3GNT2,EFHD2,NA,SRGN,POU2F2,HLA-DPA1,CD14,GBP1,IGLV2-23,NA,HLA-DRB1,NA,NA,SERPING1,CCDC80,NPDC1,GPAT3,TIPARP,TUBA1B,PRDM16
NA,NA,TRAC,BIRC3,TNFRSF9,FAS,GLRX,NA,SYTL3,MEF2C,CD52,HLA-DQA1,AIF1,IGLV2-11,NA,SPI1,NA,NA,IGFBP6,MMP2,ESAM,SPON1,GFRA1,MT1E,PWRN1
NA,NA,FYB,S100A4,TNFRSF18,PIAS2,CXCR6,NA,TNFRSF18,RALGPS2,HLA-DQA1,HLA-DPB1,APOC1,IGHV4-39,NA,HLA-DRB5,NA,NA,MMP2,SFRP4,CALCRL,SLC27A2,MIR31HG,TUBB,HS6ST3
NA,NA,CD3E,RTKN2,NA,FOXO1,ARL6IP1,NA,CST7,LAPTM5,FAM129C,IL1B,ISG15,JCHAIN,NA,SOD2,NA,NA,IGFBP4,CXCL14,CAV1,SLC17A3,NA,IFITM3,NA
NA,NA,PGM2L1,CD7,NA,SEC24B,CCL4,NA,MATK,CD52,IGHM,CD74,HLA-DPB1,IGHG3,NA,AREG,NA,NA,COL6A2,ASPN,IGFBP3,SLC5A12,NA,PGF,NA
NA,NA,IL21,ARID5B,NA,TUBB2B,ISG15,NA,LDLRAD4,FCMR,CD72,FCER1G,MS4A6A,IGHV1-18,NA,HLA-DQB1,NA,NA,MEG3,THY1,IFI27,LRP2,NA,SPARC,NA
NA,NA,TOX,GK,NA,PARP3,LAX1,NA,FCER1G,CD19,SELL,FCGR3A,SOD2,IGHV1-46,NA,SAT1,NA,NA,IGF1,MFAP2,RNASE1,PDZK1,NA,IGFBP7,NA
NA,NA,SPOCK2,CD3D,NA,PIGH,CD8A,NA,PRF1,SMIM14,HLA-DMB,GPX1,HLA-DQB1,CH17-224D4.2,NA,CST3,NA,NA,SRPX,C1S,CD34,CES3,NA,VWA1,NA
NA,NA,BIRC3,TRBC2,NA,BRAP,SERPINA3,NA,KLRF1,CD69,POU2F2,LYZ,CCL2,IGLV2-8,NA,HBEGF,NA,NA,COL3A1,SERPINF1,SDPR,CMBL,NA,CAVIN1,NA
NA,NA,PTPRC,TRBC1,NA,CD19,NA,NA,KRT86,NCF1,STAG3,HLA-DRB5,C15orf48,IGKV1-8,NA,HLA-DQA1,NA,NA,AEBP1,NA,IFITM3,SLC22A11,NA,RHOB,NA
NA,NA,LAT,CREM,NA,IL2RG,NA,NA,CRTAM,LTB,CD19,FCGR2A,FCGR3A,IGLV4-69,NA,CD74,NA,NA,NA,NA,IGFBP4,BBOX1,NA,CRIP1,NA
NA,NA,TRBC2,CYTIP,NA,SNTB1,NA,NA,NA,FCRLA,MEF2C,FOLR2,PSAP,IGHG4,NA,C1orf162,NA,NA,NA,NA,FKBP1A,DPYS,NA,EGR1,NA
NA,NA,NA,SAMSN1,NA,KDM5B,NA,NA,NA,NA,RCSD1,PSAP,SERPINA1,IGKV1-16,NA,CXCL10,NA,NA,NA,NA,TM4SF1,SLC16A9,NA,FOS,NA
NA,NA,NA,PIM2,NA,UTP15,NA,NA,NA,NA,STK17A,CXCL2,TNFSF13B,IGKV3D-11,NA,CYBB,NA,NA,NA,NA,PLPP1,PCK1,NA,PLVAP,NA
NA,NA,NA,SH2D2A,NA,LATS2,NA,NA,NA,NA,LIMD2,HLA-DQB1,TYMP,IGHA1,NA,CD68,NA,NA,NA,NA,HYAL2,AQP1,NA,MMP7,NA
NA,NA,NA,GBP5,NA,RASSF2,NA,NA,NA,NA,IL4R,CYBB,GRN,IGHV3-15,NA,C5AR1,NA,NA,NA,NA,SLC9A3R2,SLC4A4,NA,DEPP1,NA
NA,NA,NA,CD3E,NA,IFI30,NA,NA,NA,NA,TXNIP,FCGRT,SPI1,IGHV3-74,NA,FGL2,NA,NA,NA,NA,CRIP2,SULT1C2,NA,SERPINE1,NA
NA,NA,NA,STK17B,NA,KDM4B,NA,NA,NA,NA,IRF8,STAB1,APOBEC3A,IGLV3-19,NA,TYMP,NA,NA,NA,NA,PDLIM1,AMN,NA,CCN1,NA
NA,NA,NA,PTPRC,NA,IER5,NA,NA,NA,NA,TNFRSF13C,SGK1,IFIT2,NA,NA,RGS2,NA,NA,NA,NA,COL15A1,SLC3A1,NA,WFDC2,NA
NA,NA,NA,RAC2,NA,CD5,NA,NA,NA,NA,HLA-DMA,CD83,CTSC,NA,NA,PLEK,NA,NA,NA,NA,COL4A1,PLIN2,NA,EGFL7,NA
NA,NA,NA,IKZF2,NA,MNDAL,NA,NA,NA,NA,HLA-DQA2,CST3,IL1B,NA,NA,S100A8,NA,NA,NA,NA,EPAS1,ACAD11,NA,VWF,NA
NA,NA,NA,LCK,NA,PCGF5,NA,NA,NA,NA,SNX2,LGMN,CD14,NA,NA,NAMPT,NA,NA,NA,NA,PRCP,PTH1R,NA,HSPG2,NA
NA,NA,NA,PELI1,NA,GPR35,NA,NA,NA,NA,HLA-DRB5,CCL4L2,CXCL8,NA,NA,CD14,NA,NA,NA,NA,PALMD,EPS8L2,NA,GAS6,NA
NA,NA,NA,CACYBP,NA,SPRY1,NA,NA,NA,NA,RALGPS2,PLAUR,SPP1,NA,NA,COTL1,NA,NA,NA,NA,EMP1,CUBN,NA,KCNE3,NA
NA,NA,NA,SOD1,NA,TNIP1,NA,NA,NA,NA,NA,MRC1,TMEM176B,NA,NA,OLR1,NA,NA,NA,NA,CD36,COL23A1,NA,EMP1,NA
